"Number in population by employment status, grounds for settlement, number of years in Sweden, region of birth, sex, age and year"

"employment status","grounds for settlement","number of years in Sweden","region of birth","sex","age","2020","2021","2022","2023"
"gainfully employed population","data not available","10- years","rest of the world, incl. Soviet Union","total","30-39 years",3412,3156,2900,2641
"gainfully employed population","data not available","10- years","rest of the world, incl. Soviet Union","total","40-49 years",6521,6729,6739,6606
"gainfully employed population","data not available","10- years","rest of the world, incl. Soviet Union","total","50-59 years",3258,3523,3838,4196
"gainfully employed population","data not available","10- years","rest of the world, incl. Soviet Union","total","60-64 years",1366,1345,1342,1332
"gainfully employed population","data not available","10- years","rest of the world, incl. Soviet Union","total","65-69 years",817,798,804,786
"gainfully employed population","data not available","10- years","rest of the world, incl. Soviet Union","total","70-74 years",347,376,416,422
"gainfully employed population","data not available","10- years","unknown","total","total",37,40,40,40
"gainfully employed population","data not available","10- years","unknown","total","20-24 years",9,5,4,0
"gainfully employed population","data not available","10- years","unknown","total","25-29 years",3,7,6,13
"gainfully employed population","data not available","10- years","unknown","total","30-39 years",3,3,10,4
"gainfully employed population","data not available","10- years","unknown","total","40-49 years",10,13,6,8
"gainfully employed population","data not available","10- years","unknown","total","50-59 years",10,10,9,8
"gainfully employed population","data not available","10- years","unknown","total","60-64 years",3,0,3,3
"gainfully employed population","data not available","10- years","unknown","total","65-69 years",0,0,3,3
"gainfully employed population","data not available","10- years","unknown","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","data not available","total","total","total",0,0,0,0
"gainfully employed population","data not available","data not available","total","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","data not available","total","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","data not available","total","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","data not available","total","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","data not available","total","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","data not available","total","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","data not available","total","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","data not available","total","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","data not available","Sweden","total","total",0,0,0,0
"gainfully employed population","data not available","data not available","Sweden","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","data not available","Sweden","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","data not available","Sweden","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","data not available","Sweden","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","data not available","Sweden","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","data not available","Sweden","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","data not available","Sweden","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","data not available","Sweden","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","data not available","Europe, excl. Sweden","total","total",0,0,0,0
"gainfully employed population","data not available","data not available","Europe, excl. Sweden","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","data not available","Europe, excl. Sweden","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","data not available","Europe, excl. Sweden","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","data not available","Europe, excl. Sweden","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","data not available","Europe, excl. Sweden","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","data not available","Europe, excl. Sweden","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","data not available","Europe, excl. Sweden","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","data not available","Europe, excl. Sweden","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","data not available","Africa","total","total",0,0,0,0
"gainfully employed population","data not available","data not available","Africa","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","data not available","Africa","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","data not available","Africa","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","data not available","Africa","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","data not available","Africa","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","data not available","Africa","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","data not available","Africa","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","data not available","Africa","total","70-74 years",0,0,0,0
